word,tag,probability
flies,N,0.025210084033613446
fruit,N,0.058823529411764705
like,N,0.012004801920768308
a,N,0.0012004801920768306
the,N,0.0012004801920768306
flower,N,0.06362545018007203
flowers,N,0.05042016806722689
birds,N,0.07683073229291716
others,N,0.7106842737094838
flies,V,0.07666666666666666
fruit,V,0.016666666666666666
like,V,0.1
a,V,0.0
the,V,0.0
flower,V,0.05
flowers,V,0.05333333333333334
birds,V,0.0033333333333333335
others,V,0.7
flies,ART,0.0
fruit,ART,0.0017921146953405018
like,ART,0.0
a,ART,0.3602150537634409
the,ART,0.5376344086021505
flower,ART,0.0
flowers,ART,0.0
birds,ART,0.0
others,ART,0.1003584229390681
flies,P,0.0
fruit,P,0.0
like,P,0.06840390879478828
a,P,0.0
the,P,0.006514657980456026
flower,P,0.0
flowers,P,0.0
birds,P,0.0
others,P,0.9250814332247557
